seq,workload,strategy,tenant_id,key,latency_ms,output_rows,files,file_ranges,build_parts_cost,scan_cost,elapsed_await,finish_time
640,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,f136c996-aa2b-40cf-80b2-436fb1848af9,52,5,82,585,11ms,100ms,19ms,47ms
650,q-conv-clustered,b,eee42173-a8dc-4a3f-be3d-79f44dada5b3,3baf89dc-dc3f-46ba-a86e-51cf53c1d813,91,11,80,583,14ms,306ms,19ms,88ms
670,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,bea74f69-f278-40c4-824d-79c37cea36aa,39,11,80,583,9.9ms,94ms,44ms,35ms
660,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,a97af410-e499-4a7f-bfc7-ee7156bd1a61,173,12,80,583,11ms,367ms,42ms,168ms
680,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,8c5f234f-a002-4fa7-95e7-a53699b88679,212,17,80,583,9.8ms,412ms,46ms,209ms
690,q-conv-clustered,b,c8b9a016-520f-4f67-a382-3a944aa907fb,3439c7a5-a0c2-45be-b8f6-50610ccf97c4,165,9,80,583,9.0ms,194ms,73ms,160ms
700,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,e83a7b11-813f-48c6-ad02-633e8538182f,73,14,82,584,11ms,173ms,82ms,70ms
710,q-conv-clustered,b,c44dc1fc-8f74-43dd-9566-d8b2be710def,ce395942-ff40-4919-b336-787d3d0f213f,120,12,80,583,11ms,349ms,139ms,116ms
720,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,b95112c3-9227-41e3-b4aa-bf194dfbadda,201,19,80,582,9.4ms,710ms,85ms,197ms
730,q-conv-clustered,b,a89d72ec-512f-4655-8c37-b30e5c5e8ec2,040c47a7-3c83-4e49-abb0-8b876fbccc20,57,13,82,585,12ms,138ms,16ms,54ms
740,q-conv-clustered,b,d0e931bf-8378-4377-b448-32cdcd142fca,b489fbce-0bfa-468e-8802-689b3c8b9355,178,14,80,582,10.0ms,520ms,143ms,173ms
750,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,b7ed7c93-9cd8-484c-bead-fdde4940814d,66,9,80,582,12ms,163ms,93ms,61ms
760,q-conv-clustered,b,11eaa9c3-4b8f-45e3-b426-78c6d8e7e252,780e3117-3f6c-440f-8e66-4f0776687e10,257,11,80,583,9.7ms,672ms,63ms,251ms
770,q-conv-clustered,b,ab7c56b6-9c1e-4dc5-8f25-0eb5644ae210,c391ee86-4d5f-443a-9d9e-658f1e0f8b09,196,17,82,585,11ms,410ms,109ms,192ms
780,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,3eae402d-e054-4dcf-a1e2-513cdf4c1111,179,9,82,584,8.8ms,332ms,160ms,174ms
790,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,1e810cb0-a0f5-4529-9ca9-189202281422,123,11,80,582,9.7ms,401ms,184ms,119ms
800,q-conv-clustered,b,93d95799-3257-409f-9a1f-c4e6b1acbac7,8664a932-ae0c-4210-8dfb-f55d0b9f5c6f,260,14,80,582,9.4ms,475ms,75ms,255ms
810,q-conv-clustered,b,34d23bae-68b6-4c1a-b15c-043c8f1c52b9,ea829db4-492b-488e-9992-a68cf3103b38,103,9,82,584,9.5ms,196ms,113ms,93ms
